order_id,customer_id,product_id,order_date,quantity,unit_price,status
1001,1,101,2024-01-15,2,29.99,completed
1002,2,102,2024-01-15,1,49.99,completed
1003,1,103,2024-01-16,3,9.99,completed
1004,3,101,2024-01-16,1,29.99,cancelled
1005,4,104,2024-01-17,2,19.99,completed
1006,2,105,2024-01-17,1,99.99,completed
1007,5,102,2024-01-18,4,49.99,completed
1008,1,104,2024-01-18,1,19.99,refunded
1009,6,103,2024-01-19,2,9.99,completed
1010,3,105,2024-01-19,1,99.99,completed
1011,7,101,2024-01-20,5,29.99,completed
1012,4,102,2024-01-20,1,49.99,completed
1013,8,104,2024-01-21,3,19.99,completed
1014,2,103,2024-01-21,2,9.99,completed
1015,9,105,2024-01-22,1,99.99,cancelled
